technology_key,ips_title,predicted_category,jira_title
software,"Advanced settings, Reset all settings to default not working correctly",Killer,SPD sometime cannot work even when sitting upright
software,"Advanced Settings, Toggle buttons change state",Killer,BSoD: 0x9f_Driver_Power_State_Failure caused due to the IRP stuck at Netwaw16 during S4 Test
wifi,The wifi FW assert code with 0x91& 0x20100503 happening  after the S4 wakes up. Fail rate: 1/10 units,YB/Lost,Killer1750x/w device name isnt correctly in Wifi INF driver
wifi,The wifi device YB with 0x13c0 happening  resuming from S4,YB/Lost,HSBC end-users complain that frequent WiFi roaming significantly affects the customer experience.
wifi,"During the game, the wifi assert code is 0x84& 0x20000066 happening cause to the network disconnection",YB/Lost,Cannot detect User SPD when lean back sitting
wifi,"The WIFI assert _0x3706  and  0x22d2  happening  cause to network disconnected during wechat video callevent log show wifi ""5002"". Fail rate: 1/109 units",YB/Lost,SPD range too short
wifi,11ax 6GHz Tx Power issue,Power Consumption,WiFi7 Roaming Fail with 6G band BW40 in customer site with cisco AP
wifi,BE201 BSOD 0x9F during S4 test,BSOD,SPD not working < 30cm from edge of laptop but isolation is good
wifi,Black screen (0xA0) during WinPVT Hibernation Functional test (Caterr LED off).,BSOD,Yoyo file setting not working
wifi,multiple roamings in stationary environment,Connectivity,Cannot WAL in Crowd scenario
wifi,Stress_MS Transition Drip DC_hang with BSOD dump 0x7E,BSOD,Cannot WAL in Crowd scenario
wifi,"The CSR interface show ""cannot connect to this network"" after input an incorrect password then input correct one on the same or another AP.",Connectivity,802.11AX MCS6 and BE MCS11 with LDPC Sensitivity is not met EPS Performance
wifi,TAS/SAR becomes Active even though its disabled by SAR Manager (set to index 0),RF,Assert 0x508 happened frequently when BT headphone was connected.(Intel BE201)
wifi,BSoD 0x9F point to Netwaw16.sys during Stress_Random MS/S4,BSOD,SPD detection is not working in Intel office
wifi,WLAN YB and BT Lost,YB/Lost,BE201 WLAN YB during Board Factory Test with assert 0x20100505
wifi,Cannot connect to WPA2 Enterprise via UEFI,Connectivity,Throughput with 11be is lower than 11ax in 5GHz
wifi,0x9F BSOD,BSOD,5010 Netwaw16 WiFi errors observed during GT(eDP) random mountain test  -- 0x2ca5
software,UI Crash when Toast Notifications are on,Killer,"Demo Asus Nuc to HP , SPD detection range is too far ,customer expect same detection range as in Sensing 1.0"
software,#NAME?,Killer,issue of SPD false detection when standing at 2m distance
software,#NAME?,Killer,16/17Z90TR + BE201 FW assert 0x84 and 20000066(TFD Queue hang) happening cause to event ID 5002 issue with ASUS GT-AXE11000 ap
software,Services do not start properly after automation install,Killer,cant work wifi sensing(WAL) after reboot
software,#NAME?,Killer,Wi-Fi adapter PHY rate is not consistent in 6 GHz band(320 MHz) with TP-Link BE800 AP
software,DCR-3083 Network Service weird state if config file check fails on startup,Killer,WiFi lost in DM after reboot or during Youtube playback
software,Wifi list is empty after 10 seconds of waiting,Killer,"Event viewer - System error ""Has determined that the network adapter is not functioning properly"" observed while running S4 cycling -- 0x1000971"
software,ICPS fails to connect to IOS Device HS,ICPS,Wi-Fi adapter PHY rate is not consistent in 6 GHz band(320 MHz) with TP-Link BE800 AP
software,50.26.114.3 Fails to install or open on automation setup,Killer,Wireless display not able to connect between two Mckenna systems
software,ICPS and Killer Toast open UI when UI is closed,ICPS,"When 6GHz is enabled, the detection distance is sometimes extremely short (30-50cm) for a while after booting"
software,Text is cut off when translated,Killer,Decision low value will over decision high and system always detect human after SPD
software,C17HF Lenovo Layout cant connect WIFI AP through ICPS UI after input passcode,ICPS,Wi-Fi device shows 0x38 error code During OOBE
software,incorrect language in ICPS title bar,ICPS,Wi-Fi EXE Installer failed with Turkish OS language Win11 OS
software,ICPS related Registry keys are not deleted after ICPS SW uninstallation,ICPS,cant work wifi sensing
software,Uninstalling in a different language doesnt remove drivers,Killer,Intel Wi-Fi 7 BE201 (FmP2) will show YB after ESD testing
software,ACM tab doesnt appear when PC connected to ethernet and WiFi,Killer,Lower Wifi Uplink Throughput when TAS is enabled even in close range of Access Point
software,HS banner isnt aligned with network list,Killer,FW assert 0x20100505 happening cause to tpt measurement using Chariot stop
software,Uninstalling doesnt remove drivers,Killer,WLAN device shows YB after resuming from S4/MS - FW assert 0x13ce
software,Took 59 seconds to connect to HS,Killer,WirelessSetup popup error when reinstall after 23.110.
software,"Missing ""RTP_SESSION_INTERRUPTED"" part of the event when user is in a call",Killer,WLAN device shows YB after resuming from S4/MS - FW assert 0x132e
software,Takes too long to connect to HS when losing WiFi during call,Killer,"Run CITU fail , in driver log Assert happen"
software,Wix Installer for ICPS fails to uninstall on non-Dell Machines,ICPS,"Once the PC wakes up, it stays awake even if there is no movement around the PC."
software,Killer Software 40.25.905.1721 - The .exe installer file appears to be blocked by 3rd party Antivirus as FileRepMalware,Killer,"Connect BT mouse+KB+Headset then restart, BT will lost (WiFi assert 0x506)"
software,UI sets all user setting back to default if the Network Service is STOPPED,Killer,BE201 WLAN YB on factory with assert 0x505 while idle
software,UI Prioritization setting the wrong user.xml config,Killer,WIFI 5002 assert 100% in S4 and cause BT lost (with low fail rate) when running S4 test - TOP Exception
software,Takes a while for UI to update when clicking on HS button when HS is off,Killer,"After finished this round of calibration, wording suggest next round. After clicking next round , still show ""click next round"""
software,App crashes when navigating to Doubleshot tab,Killer,"When user walked back as suggested by tool, the indication still showing Recording the data"
software,Dark/Light mode change lead to BT device name invisible,Killer,Coverity - CID 3859267  Big parameter passed by value
software,"Edit the Bluetooth device name without saving in Dark theme, switch to Light theme, and the text becomes invisible",Killer,Coverity - CID 3871173  Copy without assign
software,"Wrong Chinese translation of ""recommendation preferences"" in Advanced Setting",Killer,Coverity - CID 3876590 Big parameter passed by value
software,IntelConnect looses track of IHS client connected when wifi adapter resets,Killer,Coverity - CID 4012501 Copy without assign
software,"When end user use very long name for BT device, the menu will be out of screen",Killer,Coverity - CID 4117628 Pointer comparison with string literal
software,Doubleshot priorities showing incorrectly,Killer,Coverity - CID 4117629 Pointer comparison with string literal
software,ICPS doesnt connect to HS when returning from sleep with no available networks,ICPS,Coverity - CID 4117630 Pointer comparison with string literal
software,Event is triggered when attenuating AP#1 although AP#2 is still available,Killer,Coverity - CID 4119157 Uninitialized scalar variable
software,"Text of ""click to activate and connect to your hotspot"" is not in the right spot",Killer,Coverity - CID 4119174 Identical code for different branches
software,ICPS.exe crash when IntelConnect is STOPPED,ICPS,Coverity - CID 4119175 Identical code for different branches
software,Sanitize and Translate newly created user facing strings,Killer,Coverity - CID 4119176 Identical code for different branches
software,HS row doesnt show unavailable when taking HS out of range,Killer,Coverity - CID 4119177 Identical code for different branches
software,Wrong event when disconnecting WiFi from Windows OS,Killer,Coverity - CID 4119178 Identical code for different branches
software,Frequent roaming triggered during Teams call,Killer,Coverity - CID 4119179 Identical code for different branches
software,Dark Mode Doubleshot disabled radiobuttons look invisible,Killer,"""Open MPA for activation"" banner doesnt appear"
software,Nothing is translated in Norwegian,Killer,Coverity - CID 4119180 Identical code for different branches
software,ICPS cannot be launched for up to one hour after completing OOBE if the service is not running,ICPS,Coverity - CID 4119181 Identical code for different branches
software,"Toggling on ""Only show authorized networks"" causes app to crash",Killer,Coverity - CID 4119182 Identical code for different branches
software,"UI jumps a bit in Network Health tab when toggling on/off ""Only show authorized networks""",Killer,Coverity - CID 4119183 Identical code for different branches
software,Settings --> Change lowercase letters to uppercase for reset buttons strings,Killer,Coverity - CID 4119184 Identical code for different branches
software,BT page is still visible with Lenovo builds (Idea and ThinkPad),Killer,Coverity - CID 4119185 Identical code for different branches
software,recommendations reset on settings page should have upper case letters in the beginning of a sentence,Killer,Coverity - CID 4119534 Logically dead code
software,"EULA title in sidebar and ""Uninstall"" button is really small in certain languages",Killer,Wix Installer ICPS does not work properly if the machine has no Internet connection
software,Wix Installer ICPS -- Incorrect Implementation of WREQ-372560  for Dell Systems,ICPS,"- Notification tab is presenting non-accurate and data duplication, 100% reproducible"
software,Coverity - CID 4121986 Lock evasion,Killer,"- Under ""Usage Details"" tab, moving from day to week view do nothing (still see the day details)"
software,Coverity - CID 4121985 Data race condition,Killer,"Advanced Settings, Toggle buttons not disabled"
software,Coverity - CID 410776 Data race condition,Killer,"Advanced settings, Reset all settings to default not working correctly"
software,Coverity - CID 3808464 Infinite recursion without exit,Killer,"Advanced Settings, Toggle buttons change state"
software,Coverity - CID 3808463 Infinite recursion without exit,Killer,The wifi FW assert code with 0x91& 0x20100503 happening  after the S4 wakes up. Fail rate: 1/10 units
software,Coverity - CID 3808459 Division by zero,Killer,The wifi device YB with 0x13c0 happening  resuming from S4
software,Coverity - CID 3808457 Infinite recursion without exit,Killer,"During the game, the wifi assert code is 0x84& 0x20000066 happening cause to the network disconnection"
software,Coverity - CID 3808454 Division by zero,Killer,"The WIFI assert _0x3706  and  0x22d2  happening  cause to network disconnected during wechat video callevent log show wifi ""5002"". Fail rate: 1/109 units"
software,Coverity - CID 3808453 Infinite recursion without exit,Killer,11ax 6GHz Tx Power issue
software,Coverity - CID 3808450 Infinite recursion without exit,Killer,BE201 BSOD 0x9F during S4 test
software,Coverity - CID 3808444 Infinite recursion without exit,Killer,Black screen (0xA0) during WinPVT Hibernation Functional test (Caterr LED off).
software,Coverity - CID 3808441 Infinite recursion without exit,Killer,multiple roamings in stationary environment
software,Coverity - CID 3808439 Infinite recursion without exit,Killer,Stress_MS Transition Drip DC_hang with BSOD dump 0x7E
software,Coverity - CID 3808436 Infinite recursion without exit,Killer,"The CSR interface show ""cannot connect to this network"" after input an incorrect password then input correct one on the same or another AP."
software,VRMode object being initialized more than once,Killer,TAS/SAR becomes Active even though its disabled by SAR Manager (set to index 0)
software,Prioritization Mode in UI not resetting on user set ACM Manual Routing,Killer,BSoD 0x9F point to Netwaw16.sys during Stress_Random MS/S4
software,Network Helper service isnt running after installation,Killer,WLAN YB and BT Lost
software,ICPS triggers HS activation but fails to connect after HS is on,ICPS,Cannot connect to WPA2 Enterprise via UEFI
software,Delays in detecting HS off and triggering recommendConnect,Killer,0x9F BSOD
software,"- UI refresh delay when ""Reset Recommendation"" button under Advanced Settings",Killer,UI Crash when Toast Notifications are on
software,Wrong colors,Killer,#NAME?
software,Status and network score is cut off in narrowest screen size,Killer,#NAME?
software,Headers dont appear according to Figma,Killer,Services do not start properly after automation install
software,Some sidebar icons arent according to Figma,Killer,#NAME?
software,Network-list API shows different networks than ICPS app,ICPS,DCR-3083 Network Service weird state if config file check fails on startup
software,3876590 - Big parameter passed by value,Killer,Wifi list is empty after 10 seconds of waiting
software,4012501 - Copy without assign,Killer,ICPS fails to connect to IOS Device HS
software,3871173 - Copy without assign,Killer,50.26.114.3 Fails to install or open on automation setup
software,3859267 - Big parameter passed by value,Killer,ICPS and Killer Toast open UI when UI is closed
software,3859266 - Big parameter passed by value,Killer,Text is cut off when translated
software,4119822 - Resource leak,Killer,C17HF Lenovo Layout cant connect WIFI AP through ICPS UI after input passcode
software,4119821 - Resource leak,Killer,incorrect language in ICPS title bar
software,4119819 - Resource leak,Killer,ICPS related Registry keys are not deleted after ICPS SW uninstallation
software,4119820- Resource leak,Killer,Uninstalling in a different language doesnt remove drivers
software,4119820 - Resource leak,Killer,ACM tab doesnt appear when PC connected to ethernet and WiFi
software,4022861 - Dereference after null check,Killer,HS banner isnt aligned with network list
software,4119535 - Dereference after null check,Killer,Uninstalling doesnt remove drivers
software,4119887 - Explicit null dereferenced,Killer,Took 59 seconds to connect to HS
software,4119113 - Explicit Null dereferenced,Killer,"Missing ""RTP_SESSION_INTERRUPTED"" part of the event when user is in a call"
software,RNIdle task is not working as expected during Lenovo power testing,Killer,Takes too long to connect to HS when losing WiFi during call
software,#NAME?,Killer,Wix Installer for ICPS fails to uninstall on non-Dell Machines
software,Trying to install an installer with equal version should be a NOP,Killer,Killer Software 40.25.905.1721 - The .exe installer file appears to be blocked by 3rd party Antivirus as FileRepMalware
software,Text is cut off when translated,Killer,UI sets all user setting back to default if the Network Service is STOPPED
software,EULA isnt translated,Killer,UI Prioritization setting the wrong user.xml config
software,Power consumption is increased due to ICPS.exe activities,ICPS,Takes a while for UI to update when clicking on HS button when HS is off
software,Microsoft.Win32.TaskScheduler.dll isnt digitally signed,Killer,App crashes when navigating to Doubleshot tab
software,Title isnt translated,Killer,Dark/Light mode change lead to BT device name invisible
software,IntelAnalyticsService_MEMORY_CORRUPTION_LARGE observed while running driver upgrades.,Killer,"Edit the Bluetooth device name without saving in Dark theme, switch to Light theme, and the text becomes invisible"
software,- Killer 4.0 ISO/Over Clocking pop-up window doesnt have close X click on top right corner.,Killer,"Wrong Chinese translation of ""recommendation preferences"" in Advanced Setting"
software,HS shows unavailable UI when disconnecting,Killer,IntelConnect looses track of IHS client connected when wifi adapter resets
software,"- Text is cutoff in Prioritization Engine tab under ""Application"" sub-tab",Killer,"When end user use very long name for BT device, the menu will be out of screen"
software,"- Under ""Advanced Setting"" tab on the VR section, ""SSID"" and ""Password"" text box are behaving strangely",Killer,Doubleshot priorities showing incorrectly
software,"- Bluetooth tab is presenting ""Connect"" button instead of ""Add a device"" when a device is already connected",Killer,ICPS doesnt connect to HS when returning from sleep with no available networks
software,"- On ""Usage Details"" tab ""Streaming"" category text is not bold like the other categories under ""Traffic by category"" chart",Killer,Event is triggered when attenuating AP#1 although AP#2 is still available
software,#NAME?,ICPS,"Text of ""click to activate and connect to your hotspot"" is not in the right spot"
software,Sidebar titles arent centered in some languages,Killer,ICPS.exe crash when IntelConnect is STOPPED
software,Show more window reads incorrectly and not localized,Killer,Sanitize and Translate newly created user facing strings
software,"set manualacm output changed, failing 10 CLI tests",Killer,HS row doesnt show unavailable when taking HS out of range
software,Prioritization Engine - Applications Tab still allows you to use Priority 0,Killer,Wrong event when disconnecting WiFi from Windows OS
software,Attenuated network with score of 0 still shows on the list,Killer,Frequent roaming triggered during Teams call
software,NO_INTERNET event appears when disconnecting ETH when theres another saved network available,Killer,Dark Mode Doubleshot disabled radiobuttons look invisible
software,Takes ~45 seconds for event to appear after unplugging ETH with no available networks,Killer,Nothing is translated in Norwegian
software,Updating from 40.25.905.1721 to 40.25.905.1729 via .exe installer leaves older UWD drivers and disconnects Killer App from the adapter until a manual OS reboot,Killer,ICPS cannot be launched for up to one hour after completing OOBE if the service is not running
software,Audio quality indicator is not shown when user is in Teams call,Killer,"Toggling on ""Only show authorized networks"" causes app to crash"
na,0,BSOD,"UI jumps a bit in Network Health tab when toggling on/off ""Only show authorized networks"""
tools,MIMO2 value at DRTU Regulatory Power Limits Table is too high,OEM Tools,Settings --> Change lowercase letters to uppercase for reset buttons strings
tools,ANT RSSI command timed out when testing UHB with WiFi 7 AP.,OEM Tools,BT page is still visible with Lenovo builds (Idea and ThinkPad)
tools,ANT associates fail to Wi-Fi 7 AP when testing RSSI command. (enable location service),OEM Tools,recommendations reset on settings page should have upper case letters in the beginning of a sentence
tools,CITU DPHY Margin Test shows PER Greater than 1,OEM Tools,"EULA title in sidebar and ""Uninstall"" button is really small in certain languages"
tools,DRTU -CLi observe Rx mode didnt reply RSSI frequently,OEM Tools,Wix Installer ICPS -- Incorrect Implementation of WREQ-372560  for Dell Systems
tools,WRT2G tool  Wi-Fi monitor page cant show MCS or packets details,OEM Tools,Coverity - CID 4121986 Lock evasion
tools,WRT2G WRT_CNV_BIOS_Conf.json cant parsing PPAG Revision3 UEFI variable content,OEM Tools,Coverity - CID 4121985 Data race condition
tools,DRTU Power does not meet the regulatory limit,OEM Tools,Coverity - CID 410776 Data race condition
tools,DRTU cannot set 320MHz in the Korea region,OEM Tools,Coverity - CID 3808464 Infinite recursion without exit
tools,There is no BE201 Dell SKU in WRT tool (in 23.60.5.4 and 23.70.2.3,OEM Tools,Coverity - CID 3808463 Infinite recursion without exit
tools,"DRTU fail to switch to Packet Type ""2M Bandwidth"" 100%",OEM Tools,Coverity - CID 3808459 Division by zero
tools,RF | RSSI value show randomly drop to -95 dBm,Connectivity,Coverity - CID 3808457 Infinite recursion without exit
tools,RxRadiated test GetWifiCwRssiAsync API returns invalid RSSI value,Connectivity,Coverity - CID 3808454 Division by zero
tools,Intel NDT RSSI Values Abnormal on 2.4GHz Channel 10/11/12,OEM Tools,Coverity - CID 3808453 Infinite recursion without exit
tools,TAS function no trigger issue,RF,Coverity - CID 3808450 Infinite recursion without exit
tools,DRTU-Cli hit to Failed committing configuration rx,OEM Tools,Coverity - CID 3808444 Infinite recursion without exit
tools,ANT tool cant read UEFI EWRD and WGDS SAR value correctly,OEM Tools,Coverity - CID 3808441 Infinite recursion without exit
tools,ANT association test always fails,OEM Tools,Coverity - CID 3808439 Infinite recursion without exit
tools,The RSSI test timeout using ANT tool in DC mode,OEM Tools,Coverity - CID 3808436 Infinite recursion without exit
tools,ANT RSSI test shows 0 or timeout,OEM Tools,VRMode object being initialized more than once
tools,"when BT PPAG EU PPAG enabled only, the table source show Not Relevant",OEM Tools,Prioritization Mode in UI not resetting on user set ACM Manual Routing
tools,#NAME?,OEM Tools,Network Helper service isnt running after installation
tools,"HP disable BT Sar at BIOS , ANT tool still show BT Sar limit",OEM Tools,ICPS triggers HS activation but fails to connect after HS is on
tools,DRTU can not test bluetooth BR & EDR separately,OEM Tools,Delays in detecting HS off and triggering recommendConnect
tools,ANT tool bt ppag cmd error message improvement,OEM Tools,"- UI refresh delay when ""Reset Recommendation"" button under Advanced Settings"
tools,Intel BE202 GNNR test failed (WinPE environment),OEM Tools,Wrong colors
tools,Intel BE202 GNNR test failed (WinPE environment),OEM Tools,Status and network score is cut off in narrowest screen size
tools,"add result for ANT tool ""-get_per_country_6e_bios_settings""",OEM Tools,Headers dont appear according to Figma
tools,DRTU Error for specific DRTU Command line,OEM Tools,Some sidebar icons arent according to Figma
tools,2.4GHz Wi-Fi and BT signal doesnt transmit simultaneously then WiFi Tx Power drop -- FW Assert: 0xB5E,YB/Lost,Network-list API shows different networks than ICPS app
tools,Signal no output when click START,OEM Tools,3876590 - Big parameter passed by value
tools,UnitedToolWTF.exe,OEM Tools,4012501 - Copy without assign
tools,DRTU low ~3db tx power issue for specific channel,OEM Tools,3871173 - Copy without assign
tools,v23.0.0 DRTU tool running issue,OEM Tools,3859267 - Big parameter passed by value
tools,2.4GHz Wi-Fi and BT signal doesnt transmit simultaneously then WiFi Tx Power drop -- FW Assert: 0xB5E,YB/Lost,3859266 - Big parameter passed by value
tools,Burning test error still appears with a license,OEM Tools,4119822 - Resource leak
tools,Athena NDT Test of BurnInTest tool not working,OEM Tools,4119821 - Resource leak
tools,NDT cannot be executed correctly,OEM Tools,4119819 - Resource leak
tools,CNVio Marginal Test Fail with CITU tool,OEM Tools,4119820- Resource leak
tools,GNNR Tool does not support 2 antenna SNR query,OEM Tools,4119820 - Resource leak
tools,DRTU - The device is blind - DRTU supports burnt device only!,OEM Tools,4022861 - Dereference after null check
tools,BT MCC jump to 3030 due to Wi-Fi,Connectivity,4119535 - Dereference after null check
tools,Ant tool cant read correct BRDS SAR BIOS setting if value exceed Tx power limit,OEM Tools,4119887 - Explicit null dereferenced
tools,Chain A always 1.5 dBm less than target,OEM Tools,4119113 - Explicit Null dereferenced
tools,Elmer | DRTU | DRTU connect failed with errMsg: No remote devices found. in xvtdriver::CXvtWifiDriverUsc::DrvEnumerateDevices,OEM Tools,RNIdle task is not working as expected during Lenovo power testing
tools,CITU tool out of function,OEM Tools,#NAME?
tools,DRTU crashed issue,OEM Tools,Trying to install an installer with equal version should be a NOP
tools,Tributo MTL_CNVi sku used CITU tool can not work,OEM Tools,Text is cut off when translated
tools,DRTU CLi mode observe Tx Uncalibrated issue,OEM Tools,EULA isnt translated
tools,6-7G OTP showed 3dBm and Target power higher then Regulatory power limit,Power Consumption,Power consumption is increased due to ICPS.exe activities
tools,Tributo MTL_CNVi sku used CITU tool cannot connected,OEM Tools,Microsoft.Win32.TaskScheduler.dll isnt digitally signed
tools,DRTU ETSI mode removal,OEM Tools,Title isnt translated
tools,22.200 Rx Sensitivity Direct Mode Receive 0 packet Issue,RF,IntelAnalyticsService_MEMORY_CORRUPTION_LARGE observed while running driver upgrades.
tools,CITU cannot be executed on MTL+AX201,OEM Tools,- Killer 4.0 ISO/Over Clocking pop-up window doesnt have close X click on top right corner.
tools,DRTU GetChannelRegulatoryInfo failed,OEM Tools,HS shows unavailable UI when disconnecting
tools,"FATAL_ERROR: uCode ASSERT(UMAC, rtStatus = 0x20100505, log is  valid. data1 = 0x2, data2 = 0x1)",YB/Lost,"- Text is cutoff in Prioritization Engine tab under ""Application"" sub-tab"
tools,Intel Ant tool and WRT tool cant output  GEO SAR TABLE of BIOS,OEM Tools,"- Under ""Advanced Setting"" tab on the VR section, ""SSID"" and ""Password"" text box are behaving strangely"
tools,CITU Basic Test Failure,OEM Tools,"- Bluetooth tab is presenting ""Connect"" button instead of ""Add a device"" when a device is already connected"
tools,WiFi de-sense values dont seem correct,Connectivity,"- On ""Usage Details"" tab ""Streaming"" category text is not bold like the other categories under ""Traffic by category"" chart"
tools,OEM Tool cannot connected with USC which in PV packet,Connectivity,#NAME?
tools,HW locked ERROR pop-up when click START,OEM Tools,Sidebar titles arent centered in some languages
tools,DRTU CLI crashes during execution,OEM Tools,Show more window reads incorrectly and not localized
tools,Marginal issue failed on cnviRxClockDelayD0/1 and cnviRxClockDataD0/1,OEM Tools,"set manualacm output changed, failing 10 CLI tests"
tools,DRTU 22.190 TX Sine Wave Bug,OEM Tools,Prioritization Engine - Applications Tab still allows you to use Priority 0
tools,"Bluetooth Modulated Tx Low Energy incorrect after click ""STOP"" or double click ""START""",Connectivity,Attenuated network with score of 0 still shows on the list
tools,ANT cannot display bit9-11 settings of DSM function 3,OEM Tools,NO_INTERNET event appears when disconnecting ETH when theres another saved network available
tools,ANT tool shows error with 9462  on ADL,OEM Tools,Takes ~45 seconds for event to appear after unplugging ETH with no available networks
tools,DRTU tool CLI command prints N/A in CSV for negative values in 6GHz,OEM Tools,Updating from 40.25.905.1721 to 40.25.905.1729 via .exe installer leaves older UWD drivers and disconnects Killer App from the adapter until a manual OS reboot
tools,Error msg pop-up on DRTU operation on 6E BW80MHz low TX power,OEM Tools,Audio quality indicator is not shown when user is in Teams call
tools,DRTU can test with UNII-4 band with MCC = FR while we only enable UNII4 for US,OEM Tools,
tools,ANT tool get_psensor_tx_limits shows wrong result,OEM Tools,MIMO2 value at DRTU Regulatory Power Limits Table is too high
tools,DRTU Fail - RU Setting,OEM Tools,ANT RSSI command timed out when testing UHB with WiFi 7 AP.
tools,DRTU Fail - RU Setting,OEM Tools,ANT associates fail to Wi-Fi 7 AP when testing RSSI command. (enable location service)
tools,Do not receive BLE packet in DRTU,OEM Tools,CITU DPHY Margin Test shows PER Greater than 1
tools,Incorrect EWRD reading from ANT tool,OEM Tools,DRTU -CLi observe Rx mode didnt reply RSSI frequently
tools,ANT tool dump BT SAR table with different Tx power on LE,OEM Tools,WRT2G tool  Wi-Fi monitor page cant show MCS or packets details
tools,Target Power does not follow the power control bar config in power control mode,Power Consumption,WRT2G WRT_CNV_BIOS_Conf.json cant parsing PPAG Revision3 UEFI variable content
tools,9462 @ CITU SHOW 9461,OEM Tools,DRTU Power does not meet the regulatory limit
tools,UNII4 is not supported on DRTU,OEM Tools,DRTU cannot set 320MHz in the Korea region
tools,CITU BRI projects Received than Generated,OEM Tools,There is no BE201 Dell SKU in WRT tool (in 23.60.5.4 and 23.70.2.3
tools,CITU not work when running testing.,OEM Tools,MEM file Line 4 doesnt include the right DWORD size value
tools,Bluetooth Modulated Tx Low Energy MCC setting regulatory power limit is incorrect,Power Consumption,"DRTU fail to switch to Packet Type ""2M Bandwidth"" 100%"
tools,AX201 Test fail during WBT,Connectivity,RF | RSSI value show randomly drop to -95 dBm
tools,"DRTU connection check fail with --XVT_CMD_RESET_XVT_MODE, failure status 31",OEM Tools,RxRadiated test GetWifiCwRssiAsync API returns invalid RSSI value
tools,DRTU not able to test MU-MIMO 160MHz at 5GHz,OEM Tools,Intel NDT RSSI Values Abnormal on 2.4GHz Channel 10/11/12
tools,Zaca DRTU disconnect failed,OEM Tools,TAS function no trigger issue
tools,DRTU transmitting with OFDM (11g) when set to CCK rates (11b),OEM Tools,DRTU-Cli hit to Failed committing configuration rx
tools,"Opening and ending tag mismatch on ""LPI"" in PowerTable output",Power Consumption,ANT tool cant read UEFI EWRD and WGDS SAR value correctly
tools,Queried result of CDB SAR table by ANT tool was different from that by WRT tool,OEM Tools,ANT association test always fails
tools,DRTU showing 11Ac when MCS is set to 11,OEM Tools,Incorrect RSSI test results
tools,Display issue on DRTU,OEM Tools,The RSSI test timeout using ANT tool in DC mode
tools,Wi-Fi NDT Result,OEM Tools,ANT RSSI test shows 0 or timeout
tools,"DRTU commands work fine after OTP commit, but fail before OTP write.",OEM Tools,"when BT PPAG EU PPAG enabled only, the table source show Not Relevant"
tools,The WiFi 6E signal cannot be automatically connected with ANT tool,OEM Tools,#NAME?
tools,cant run CITU tool to test CNVi normally,OEM Tools,"HP disable BT Sar at BIOS , ANT tool still show BT Sar limit"
tools,RU Rx PER cant be measured on GfP2,OEM Tools,DRTU can not test bluetooth BR & EDR separately
tools,DRTU target power not limited by SAR table,OEM Tools,ANT tool bt ppag cmd error message improvement
tools,DRTU Rx function doesnt get good packets at 22.80 HF1,OEM Tools,Intel BE202 GNNR test failed (WinPE environment)
tools,DRTU_RX can not receive any packet count problem,OEM Tools,Intel BE202 GNNR test failed (WinPE environment)
tools,intel ANT tool issue (hardware initialization failed) fail rate 0.5%,OEM Tools,"add result for ANT tool ""-get_per_country_6e_bios_settings"""
tools,AX411 QS sample 6e tx power lock at 7.5dB,Power Consumption,DRTU Error for specific DRTU Command line
tools,ANT. tool can not auto detecting 6E SSID for RSSI test.,OEM Tools,2.4GHz Wi-Fi and BT signal doesnt transmit simultaneously then WiFi Tx Power drop -- FW Assert: 0xB5E
tools,TX power value is incorrect,Power Consumption,Signal no output when click START
tools,DRTU power table doesnt show SAR value,OEM Tools,: Marginal test of CVNI always failed at 40%
tools,DRTU doesnt show SAR values in power table when EWRD is enabled,OEM Tools,UnitedToolWTF.exe
tools,No result for every command,OEM Tools,DRTU low ~3db tx power issue for specific channel
tools,AX211 DRTU incorrect TX Regulatory Power Limit,OEM Tools,v23.0.0 DRTU tool running issue
tools,Athena NDT Tool Hanging issue upon connect with WiFi device,OEM Tools,2.4GHz Wi-Fi and BT signal doesnt transmit simultaneously then WiFi Tx Power drop -- FW Assert: 0xB5E
tools,GNNR under WinPE and an error occurred or cannot be used,OEM Tools,Burning test error still appears with a license
tools,no DRTU.exe in DRTU server mode,OEM Tools,: Marginal test of CVNI always failed at 40%
tools,JfP1 9462 with DRTU (22.65.0.1) shows lower output power than older version DRTU (22.20.0.6),OEM Tools,Athena NDT Test of BurnInTest tool not working
tools,Samsung PNVM - WRT shows incorrect values,OEM Tools,NDT cannot be executed correctly
tools,DRTU remote connect failed,OEM Tools,CNVio Marginal Test Fail with CITU tool
tools,Output of ANT get_ppid command doesnt match with module,OEM Tools,GNNR Tool does not support 2 antenna SNR query
tools,Wrong values found in CDB tables in ANT EWRD output,OEM Tools,DRTU - The device is blind - DRTU supports burnt device only!
tools,ADL-S CITU tool cant run with AX201,OEM Tools,BT MCC jump to 3030 due to Wi-Fi
tools,ANT get_ppid command cannot work,OEM Tools,Ant tool cant read correct BRDS SAR BIOS setting if value exceed Tx power limit
tools,Error message found in ANT EWRD output when GfP2 is used,OEM Tools,Chain A always 1.5 dBm less than target
tools,Cant Get Power Table of 6-7GHz,OEM Tools,Elmer | DRTU | DRTU connect failed with errMsg: No remote devices found. in xvtdriver::CXvtWifiDriverUsc::DrvEnumerateDevices
tools,Different version of tool on same device at the same time will cause connection failed,OEM Tools,Error: Hardware initialization failed (22.205 PASS)
tools,Unable to read dyanic SAR table (EWRD) using ANT,OEM Tools,CITU tool out of function
